"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Prairie Ridge","7/2/2015",10:25:00,"7/6/2015",09:51:00,"5E",26.2,26,"Two long, cylindrical pieces of frass; fluffy material inside"
"Prairie Ridge","7/2/2015",09:12:00,"7/6/2015",10:50:00,"10E",12.2,17,NA
"Prairie Ridge","7/2/2015",10:31:00,"7/6/2015",09:41:00,"12E",8.5,29,NA
"Prairie Ridge","7/2/2015",10:56:00,"7/6/2015",09:11:00,"7E",15.3,21,"Fluffy material"
"Prairie Ridge","7/2/2015",09:53:00,"7/6/2015",10:26:00,"2E",4.6,13,NA
"Prairie Ridge","7/2/2015",09:42:00,"7/6/2015",10:29:00,"1E",14.3,12,"Folded over when found; fluffy material and exploded frass found inside"
"Botanical Garden","7/3/2015",08:32:00,"7/7/2015",10:07:00,"1B",5.7,14,"Edges destroyed"
"Botanical Garden","7/3/2015",08:30:00,"7/7/2015",10:06:00,"1C",6.2,18,NA
"Botanical Garden","7/3/2015",10:26:00,"7/7/2015",09:53:00,"2B",0.6,13,"Folded over when found"
"Botanical Garden","7/3/2015",08:47:00,"7/7/2015",09:54:00,"2C",12.6,21,"Fluffy material"
"Botanical Garden","7/3/2015",08:57:00,"7/7/2015",09:41:00,"3B",6.7,11,"Lots of unconsolidated fluffy material; 18 mm caterpillar found in trap"
"Botanical Garden","7/3/2015",08:59:00,"7/7/2015",09:44:00,"3E",0.8,6,"Fluffy material and exploded frass"
"Botanical Garden","7/3/2015",09:12:00,"7/7/2015",09:25:00,"4D",1,12,NA
"Botanical Garden","7/3/2015",09:09:00,"7/7/2015",09:23:00,"4E",1.8,10,"Fluffy material inside"
"Botanical Garden","7/3/2015",09:22:00,"7/7/2015",09:12:00,"5A",16.1,9,"Fluffy material inside"
"Botanical Garden","7/3/2015",09:23:00,"7/7/2015",09:14:00,"5D",17.3,15,"Fluffy material inside"
"Botanical Garden","7/3/2015",09:35:00,"7/7/2015",09:01:00,"6C",4,16,"Found folded over"
"Botanical Garden","7/3/2015",09:37:00,"7/7/2015",10:02:00,"6D",1.7,9,"Fluffy material"
"Botanical Garden","7/3/2015",09:47:00,"7/7/2015",05:51:00,"7B",12.2,18,"Fluffy material"
"Botanical Garden","7/3/2015",09:45:00,"7/7/2015",08:50:00,"7E",0.4,5,NA
"Botanical Garden","7/3/2015",09:59:00,"7/7/2015",08:36:00,"8B",1.2,6,"Fluffy material"
"Botanical Garden","7/3/2015",10:00:00,"7/7/2015",08:37:00,"8D",7.6,18,"Fluffy material"
"Prairie Ridge","7/6/2015",10:02:00,"7/9/2015",10:05:00,"4E",8.1,26,"Under heat lamp for 1 hr; Air dried overnight; Exploded frass and fluffy material in center"
"Prairie Ridge","7/6/2015",10:17:00,"7/9/2015",09:54:00,"3E",8.8,35,"Under heat lamp for 1 hr; Air dried overnight; Found folded over"
"Prairie Ridge","7/6/2015",10:48:00,"7/9/2015",09:23:00,"9E",7.9,11,"Under heat lamp for 1 hr; Air dried overnight; Many broken pieces"
"Prairie Ridge","7/6/2015",09:53:00,"7/9/2015",10:08:00,"5E",24.6,19,"Under heat lamp for 1 hr; Air dried overnight; Fluffy material in center"
"Prairie Ridge","7/6/2015",10:51:00,"7/9/2015",09:12:00,"10E",12.8,19,"Under heat lamp for 1 hr; Air dried overnight; Fluffy material in center"
"Prairie Ridge","7/6/2015",09:43:00,"7/9/2015",10:19:00,"12E",40.8,18,"Under heat lamp for 1 hr; Air dried overnight; One broke"
"Prairie Ridge","7/6/2015",09:13:00,"7/9/2015",10:40:00,"7E",5.3,10,"Under heat lamp for 1 hr; Air dried overnight;"
"Prairie Ridge","7/6/2015",10:27:00,"7/9/2015",09:40:00,"2E",2.7,11,"Under heat lamp for 1 hr; Air dried overnight; Many broken pieces; Filter paper found folded over and torn"
"Prairie Ridge","7/6/2015",10:30:00,"7/9/2015",09:31:00,"1E",1.8,10,"Under heat lamp for 1 hr; Air dried overnight;"
"Prairie Ridge","7/9/2015",10:09:00,"7/13/2015",10:28:00,"5E",26.6,15,"Under heat lamp for 2 hr; Big storm early in the morning; Includes a big clump of fluff; Fluffy material in center"
"Prairie Ridge","7/9/2015",10:06:00,"7/13/2015",10:39:00,"4E",7.8,30,"Under heat lamp for 2 hr; Big storm early in the morning; Fluffy material in center"
"Prairie Ridge","7/9/2015",10:42:00,"7/13/2015",09:45:00,"7E",8.3,25,"Under heat lamp for 2 hr; Big storm early in the morning; Fluffy material in center"
"Prairie Ridge","7/9/2015",09:32:00,"7/13/2015",11:15:00,"1E",5,15,"Under heat lamp for 2 hr; Big storm early in the morning; Fluffy material in center"
"Prairie Ridge","7/9/2015",10:20:00,"7/13/2015",10:15:00,"12E",8.8,19,"Under heat lamp for 2 hr; Big storm early in the morning; Some fluffy material in center"
"Prairie Ridge","7/9/2015",09:14:00,"7/13/2015",11:36:00,"10E",11.9,14,"Under heat lamp for 2 hr; Big storm early in the morning; Small hole in center"
"Prairie Ridge","7/9/2015",09:55:00,"7/13/2015",10:53:00,"3E",11.1,16,"Under heat lamp for 2 hr; Big storm early in the morning"
"Prairie Ridge","7/9/2015",09:42:00,"7/13/2015",11:02:00,"2E",1.7,10,"Under heat lamp for 2 hr; Big storm early in the morning; Small hole in center; Filter paper edges ripped up and funnel had punctures"
"Prairie Ridge","7/9/2015",09:24:00,"7/13/2015",11:29:00,"9E",16.7,26,"Under heat lamp for 2 hr; Air dried overnight; Big storm early in the morning; Fluffy material in center"
"Botanical Garden","7/14/2015",10:06:00,"7/17/2015",09:36:00,"5D",2.5,10,NA
"Botanical Garden","7/14/2015",08:43:00,"7/17/2015",10:12:00,"1B",13.2,17,"One long cylindrical frass, funnel tilted by curious raccoon"
"Botanical Garden","7/14/2015",09:50:00,"7/17/2015",09:38:00,"4D",5.2,5,"One long cylindrical frass"
"Botanical Garden","7/14/2015",10:38:00,"7/17/2015",08:42:00,"8D",10.2,17,NA
"Botanical Garden","7/14/2015",10:01:00,"7/17/2015",09:25:00,"5A",3.7,11,NA
"Botanical Garden","7/14/2015",09:38:00,"7/17/2015",09:35:00,"4E",1.2,7,"One exploded frass"
"Botanical Garden","7/14/2015",10:13:00,"7/17/2015",08:59:00,"6D",30.6,13,"One exploded frass"
"Botanical Garden","7/14/2015",09:20:00,"7/17/2015",09:42:00,"3E",3.1,16,"Some exploded frass"
"Botanical Garden","7/14/2015",10:25:00,"7/17/2015",08:51:00,"7B",14.5,9,NA
"Botanical Garden","7/14/2015",10:34:00,"7/17/2015",08:34:00,"8C",8.2,19,NA
"Botanical Garden","7/14/2015",09:01:00,"7/17/2015",09:51:00,"2C",23.2,23,NA
"Botanical Garden","7/14/2015",10:11:00,"7/17/2015",08:55:00,"6C",12.2,14,NA
"Botanical Garden","7/14/2015",09:16:00,"7/17/2015",09:45:00,"3B",2.6,18,"Some exploded frass"
"Botanical Garden","7/14/2015",08:55:00,"7/17/2015",09:49:00,"2B",2.7,17,NA
"Botanical Garden","7/14/2015",08:37:00,"7/17/2015",09:56:00,"1C",5.1,18,NA
"Botanical Garden","7/14/2015",10:22:00,"7/17/2015",08:47:00,"7E",4.5,8,NA
"Prairie Ridge","7/13/2015",11:32:00,"7/16/2015",08:57:00,"9E",10.8,13,"Fluff in center"
"Prairie Ridge","7/13/2015",11:40:00,"7/16/2015",08:45:00,"10E",4,15,"Tilted 30 degrees"
"Prairie Ridge","7/13/2015",10:22:00,"7/16/2015",09:46:00,"12E",6.3,18,NA
"Prairie Ridge","7/13/2015",10:32:00,"7/16/2015",09:38:00,"5E",0.9,6,"Hole in bottom that was taped"
"Prairie Ridge","7/13/2015",10:57:00,"7/16/2015",09:26:00,"3E",8.4,19,NA
"Prairie Ridge","7/13/2015",11:08:00,"7/16/2015",09:17:00,"2E",3.7,10,"Fluff in center"
"Prairie Ridge","7/13/2015",10:42:00,"7/16/2015",09:32:00,"4E",14.4,9,"Fluff in center; hole in bottom that was taped"
"Prairie Ridge","7/13/2015",11:19:00,"7/16/2015",09:10:00,"1E",16.9,22,"Fluff in center"
"Prairie Ridge","7/13/2015",09:47:00,"7/16/2015",10:18:00,"7E",8.8,25,"Fluff in center"
"Prairie Ridge","7/16/2015",08:47:00,"7/20/2015",11:18:00,"10E",3.4,13,"Trap knocked over 45 degrees; Paper folded; Exploded frass in center"
"Prairie Ridge","7/16/2015",09:42:00,"7/20/2015",10:13:00,"5E",3.5,23,"Fluff in center; Paper lightly ripped"
"Prairie Ridge","7/16/2015",09:26:00,"7/20/2015",10:27:00,"4E",13,22,"Fluff in center; One large cylindrical frass"
"Prairie Ridge","7/16/2015",09:19:00,"7/20/2015",10:51:00,"2E",4.3,25,"Fluff in center; One large cylindrical frass"
"Prairie Ridge","7/16/2015",09:29:00,"7/20/2015",10:35:00,"3E",8.1,46,"Fluff in center"
"Prairie Ridge","7/16/2015",09:00:00,"7/20/2015",11:15:00,"9E",23.9,46,"Fluff in center; Paper slightly folded over"
"Prairie Ridge","7/16/2015",10:22:00,"7/20/2015",09:28:00,"7E",5.9,29,"Paper folded"
"Prairie Ridge","7/16/2015",09:52:00,"7/20/2015",10:00:00,"12E",8.4,20,"Fluff in center"
"Prairie Ridge","7/16/2015",09:13:00,"7/20/2015",10:54:00,"1E",3.9,19,"Fluff in center"
"Botanical Garden","7/17/2015",09:31:00,"7/21/2015",09:27:00,"5D",11.8,24,"Fluff in center; One large cylindrical frass"
"Botanical Garden","7/17/2015",10:05:00,"7/21/2015",08:32:00,"1B",9.3,40,NA
"Botanical Garden","7/17/2015",09:40:00,"7/21/2015",09:13:00,"4D",13.9,25,NA
"Botanical Garden","7/17/2015",08:45:00,"7/21/2015",10:05:00,"8D",19.1,24,"One large cylindrical frass"
"Botanical Garden","7/17/2015",09:28:00,"7/21/2015",09:26:00,"5A",8.1,18,"Fluff in center"
"Botanical Garden","7/17/2015",09:37:00,"7/21/2015",09:12:00,"4E",1.8,7,"Paper folded over, some frass lost"
"Botanical Garden","7/17/2015",09:01:00,"7/21/2015",09:40:00,"6D",2.4,13,NA
"Botanical Garden","7/17/2015",09:45:00,"7/21/2015",08:59:00,"3E",3.4,14,"Fluff in center"
"Botanical Garden","7/17/2015",08:53:00,"7/21/2015",09:54:00,"7B",4.8,14,NA
"Botanical Garden","7/17/2015",08:39:00,"7/21/2015",10:04:00,"8C",5.4,14,NA
"Botanical Garden","7/17/2015",09:53:00,"7/21/2015",08:46:00,"2C",14.1,31,NA
"Botanical Garden","7/17/2015",08:58:00,"7/21/2015",09:39:00,"6C",6.3,17,NA
"Botanical Garden","7/17/2015",09:47:00,"7/21/2015",09:00:00,"3B",1.5,4,NA
"Botanical Garden","7/17/2015",09:51:00,"7/21/2015",08:45:00,"2B",3.1,12,NA
"Botanical Garden","7/17/2015",09:59:00,"7/21/2015",08:29:00,"1C",7.2,13,NA
"Botanical Garden","7/17/2015",08:50:00,"7/21/2015",09:53:00,"7E",5.3,18,NA
"Prairie Ridge","7/20/2015",10:14:00,"7/23/2015",09:49:00,"5E",1.7,7,NA
"Prairie Ridge","7/20/2015",09:30:00,"7/23/2015",10:13:00,"7E",7.9,25,NA
"Prairie Ridge","7/20/2015",10:36:00,"7/23/2015",09:30:00,"3E",8.9,34,NA
"Prairie Ridge","7/20/2015",11:16:00,"7/23/2015",09:04:00,"9E",20.3,12,NA
"Prairie Ridge","7/20/2015",10:28:00,"7/23/2015",09:43:00,"4E",9.7,9,NA
"Prairie Ridge","7/20/2015",10:52:00,"7/23/2015",09:23:00,"2E",4.9,14,NA
"Prairie Ridge","7/20/2015",11:20:00,"7/23/2015",08:50:00,"10E",1.3,12,NA
"Prairie Ridge","7/20/2015",10:55:00,"7/23/2015",09:17:00,"1E",3.6,27,"Frass on both sides, some exploded frass"
"Prairie Ridge","7/20/2015",10:00:00,"7/23/2015",09:50:00,"12E",8.8,29,"Frass on both sides"
"Botanical Garden","5/31/2016",09:54:00,"6/3/2016",09:11:00,"6C",1.7,11,NA
"Botanical Garden","5/31/2016",10:22:00,"6/3/2016",08:24:00,"8C",3.2,22,NA
"Botanical Garden","5/31/2016",10:07:00,"6/3/2016",08:48:00,"7B",2.1,6,NA
"Botanical Garden","5/31/2016",09:03:00,"6/3/2016",10:00:00,"3E",2.2,10,NA
"Botanical Garden","5/31/2016",09:01:00,"6/3/2016",09:58:00,"3A",1.4,8,NA
"Botanical Garden","5/31/2016",10:05:00,"6/3/2016",08:52:00,"7E",0.6,8,NA
"Botanical Garden","5/31/2016",08:43:00,"6/3/2016",10:15:00,"2B",1.9,7,NA
"Botanical Garden","5/31/2016",09:19:00,"6/3/2016",09:41:00,"4E",0.6,5,NA
"Botanical Garden","5/31/2016",10:25:00,"6/3/2016",08:27:00,"8D",0.6,9,NA
"Botanical Garden","5/31/2016",08:45:00,"6/3/2016",10:19:00,"2C",3.2,8,NA
"Botanical Garden","5/31/2016",08:28:00,"6/3/2016",10:33:00,"1C",3.3,7,"10 mm slug in trap"
"Botanical Garden","5/31/2016",08:31:00,"6/3/2016",10:35:00,"1B",5.9,11,NA
"Botanical Garden","5/31/2016",09:50:00,"6/3/2016",09:06:00,"6D",0.8,6,NA
"Botanical Garden","5/31/2016",09:37:00,"6/3/2016",09:20:00,"5A",1.5,8,NA
"Botanical Garden","5/31/2016",09:24:00,"6/3/2016",09:38:00,"4D",1.2,5,NA
"Botanical Garden","5/31/2016",09:32:00,"6/3/2016",09:23:00,"5D",0.5,5,NA
"Botanical Garden","6/3/2016",09:11:00,"6/7/2016",09:46:00,"6C",2,7,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/3/2016",08:50:00,"6/7/2016",09:34:00,"7B",3.3,4,"dried 3 hr under lamp due to rain; a lot of fluff in the center; 1 big frass"
"Botanical Garden","6/3/2016",09:59:00,"6/7/2016",10:32:00,"3A",2.8,9,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/3/2016",09:21:00,"6/7/2016",10:05:00,"5A",NA,NA,"dried 3 hr under lamp due to rain; a lot of fluff and dust in center. Unusable."
"Botanical Garden","6/3/2016",08:26:00,"6/7/2016",09:13:00,"8C",1.6,6,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/3/2016",09:43:00,"6/7/2016",10:17:00,"4E",0.2,3,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",09:08:00,"6/7/2016",09:51:00,"6D",1.1,2,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",10:02:00,"6/7/2016",10:39:00,"3E",1.8,13,"dried 3 hr under lamp due to rain; lots of frass in a leaf that fell into the trap"
"Botanical Garden","6/3/2016",10:17:00,"6/7/2016",10:47:00,"2B",NA,NA,"dried 3 hr under lamp due to rain; a lot of fluff and dust in center. Unusable."
"Botanical Garden","6/3/2016",10:20:00,"6/7/2016",10:53:00,"2C",0,2,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/3/2016",09:40:00,"6/7/2016",10:22:00,"4D",1.1,4,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",09:25:00,"6/7/2016",10:10:00,"5D",1.2,7,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/3/2016",08:53:00,"6/7/2016",09:29:00,"7E",0.4,1,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",08:30:00,"6/7/2016",09:18:00,"8D",2.4,7,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",10:35:00,"6/7/2016",11:05:00,"1B",2.3,10,"dried 3 hr under lamp due to rain"
"Botanical Garden","6/3/2016",10:35:00,"6/7/2016",11:00:00,"1C",0,0,"dried 3 hr under lamp due to rain; a lot of fluff in the center"
"Botanical Garden","6/7/2016",10:50:00,"6/10/2016",08:51:00,"2B",1.6,14,NA
"Botanical Garden","6/7/2016",10:55:00,"6/10/2016",08:55:00,"2C",2.7,11,NA
"Botanical Garden","6/7/2016",11:08:00,"6/10/2016",08:37:00,"1B",3.9,24,NA
"Botanical Garden","6/7/2016",10:35:00,"6/10/2016",09:10:00,"3A",2,5,"1 big piece"
"Botanical Garden","6/7/2016",10:41:00,"6/10/2016",09:13:00,"3E",1.7,7,NA
"Botanical Garden","6/7/2016",10:07:00,"6/10/2016",09:48:00,"5A",1.2,8,NA
"Botanical Garden","6/7/2016",10:24:00,"6/10/2016",09:29:00,"4D",0.6,7,NA
"Botanical Garden","6/7/2016",11:02:00,"6/10/2016",08:34:00,"1C",5.9,18,NA
"Botanical Garden","6/7/2016",10:19:00,"6/10/2016",09:25:00,"4E",1.1,4,NA
"Botanical Garden","6/7/2016",10:12:00,"6/10/2016",09:50:00,"5D",3,5,NA
"Botanical Garden","6/7/2016",09:47:00,"6/10/2016",10:09:00,"6C",0.6,5,NA
"Botanical Garden","6/7/2016",09:53:00,"6/10/2016",10:11:00,"6D",5.5,5,"3mm live caterpillar in frass trap"
"Botanical Garden","6/7/2016",09:30:00,"6/10/2016",10:27:00,"7E",3.9,13,"2 ~4mm ants in trap (dead)"
"Botanical Garden","6/7/2016",09:35:00,"6/10/2016",10:30:00,"7B",1.5,6,NA
"Botanical Garden","6/7/2016",09:13:00,"6/10/2016",10:38:00,"8C",2.4,5,NA
"Botanical Garden","6/7/2016",09:20:00,"6/10/2016",10:43:00,"8D",1.6,10,NA
"Botanical Garden","6/10/2016",10:44:00,"6/14/2016",08:46:00,"8D",4,7,"3mm live caterpillar in frass trap; one big frass"
"Botanical Garden","6/10/2016",10:10:00,"6/14/2016",08:56:00,"6C",2.5,6,NA
"Botanical Garden","6/10/2016",10:41:00,"6/14/2016",08:30:00,"8C",2.6,11,NA
"Botanical Garden","6/10/2016",10:28:00,"6/14/2016",08:41:00,"7E",1.9,11,NA
"Botanical Garden","6/10/2016",09:14:00,"6/14/2016",09:40:00,"3E",1.7,7,NA
"Botanical Garden","6/10/2016",08:38:00,"6/14/2016",10:04:00,"1B",2.5,12,NA
"Botanical Garden","6/10/2016",08:52:00,"6/14/2016",09:52:00,"2B",1.1,8,NA
"Botanical Garden","6/10/2016",09:12:00,"6/14/2016",09:37:00,"3A",1.8,12,NA
"Botanical Garden","6/10/2016",08:57:00,"6/14/2016",09:55:00,"2C",3.9,13,"pickup time/date not noted, estimated"
"Botanical Garden","6/10/2016",08:35:00,"6/14/2016",10:01:00,"1C",2.2,13,NA
"Botanical Garden","6/10/2016",10:31:00,"6/14/2016",08:43:00,"7B",1,6,NA
"Botanical Garden","6/10/2016",10:12:00,"6/14/2016",09:00:00,"6D",1.6,7,NA
"Botanical Garden","6/10/2016",09:52:00,"6/14/2016",09:13:00,"5D",0.6,4,NA
"Botanical Garden","6/10/2016",09:49:00,"6/14/2016",09:06:00,"5A",1.5,15,NA
"Botanical Garden","6/10/2016",09:30:00,"6/14/2016",09:24:00,"4D",1.2,8,NA
"Botanical Garden","6/10/2016",09:27:00,"6/14/2016",09:26:00,"4E",0.6,3,NA
"Botanical Garden","6/14/2016",09:54:00,"6/17/2016",08:43:00,"2B",1.6,5,"dried under lamp for 45 minutes"
"Botanical Garden","6/14/2016",09:57:00,"6/17/2016",08:46:00,"2C",2.1,14,"dried under lamp for 45 minutes"
"Botanical Garden","6/14/2016",10:06:00,"6/17/2016",08:31:00,"1B",10.7,20,"one big piece"
"Botanical Garden","6/14/2016",09:38:00,"6/17/2016",08:53:00,"3A",0.6,11,NA
"Botanical Garden","6/14/2016",09:42:00,"6/17/2016",08:55:00,"3E",2.7,13,NA
"Botanical Garden","6/14/2016",10:03:00,"6/17/2016",08:29:00,"1C",6.6,18,NA
"Botanical Garden","6/14/2016",09:27:00,"6/17/2016",09:10:00,"4E",1.7,4,NA
"Botanical Garden","6/14/2016",09:25:00,"6/17/2016",09:12:00,"4D",1.7,17,NA
"Botanical Garden","6/14/2016",09:23:00,"6/17/2016",09:08:00,"5A",8.6,6,"3 big pieces"
"Botanical Garden","6/14/2016",09:15:00,"6/17/2016",09:25:00,"5D",6.1,19,NA
"Botanical Garden","6/14/2016",08:58:00,"6/17/2016",09:39:00,"6C",2.1,13,NA
"Botanical Garden","6/14/2016",09:02:00,"6/17/2016",09:41:00,"6D",5,19,NA
"Botanical Garden","6/14/2016",08:43:00,"6/17/2016",09:55:00,"7E",3.8,17,NA
"Botanical Garden","6/14/2016",08:45:00,"6/17/2016",09:58:00,"7B",0.5,5,NA
"Botanical Garden","6/14/2016",08:31:00,"6/17/2016",10:06:00,"8C",4.3,13,NA
"Botanical Garden","6/14/2016",08:38:00,"6/17/2016",10:10:00,"8D",1.9,10,NA
"Botanical Garden","6/17/2016",08:38:00,"6/21/2016",09:57:00,"7E",1.5,13,NA
"Botanical Garden","6/17/2016",09:40:00,"6/21/2016",08:54:00,"6C",1.3,12,NA
"Botanical Garden","6/17/2016",08:45:00,"6/21/2016",09:51:00,"2B",3.9,16,NA
"Botanical Garden","6/17/2016",10:12:00,"6/21/2016",08:23:00,"8D",19.1,15,NA
"Botanical Garden","6/17/2016",08:55:00,"6/21/2016",09:37:00,"3A",5,26,NA
"Botanical Garden","6/17/2016",08:31:00,"6/21/2016",10:10:00,"1C",2,9,NA
"Botanical Garden","6/17/2016",09:12:00,"6/21/2016",09:22:00,"4E",3.6,9,NA
"Botanical Garden","6/17/2016",09:27:00,"6/21/2016",09:14:00,"5D",3.1,22,"a lot of dust probably from frass not in count or weight"
"Botanical Garden","6/17/2016",10:08:00,"6/21/2016",08:18:00,"8C",5.2,11,"1 long cylindrical frass"
"Botanical Garden","6/17/2016",10:00:00,"6/21/2016",08:41:00,"7B",4.5,8,"1 long cylindrical frass"
"Botanical Garden","6/17/2016",08:51:00,"6/21/2016",09:43:00,"6D",6.8,28,"3 large cylindrical frass"
"Botanical Garden","6/17/2016",09:25:00,"6/21/2016",09:01:00,"5A",2.3,17,NA
"Botanical Garden","6/17/2016",09:14:00,"6/21/2016",09:20:00,"4D",5.2,11,NA
"Botanical Garden","6/17/2016",08:57:00,"6/21/2016",09:31:00,"3E",5,22,NA
"Botanical Garden","6/17/2016",08:48:00,"6/21/2016",09:46:00,"2C",2.5,12,"Funnel tilted 30 degrees"
"Botanical Garden","6/17/2016",08:33:00,"6/21/2016",10:00:00,"1B",2.1,8,NA
"Botanical Garden","6/21/2016",10:02:00,"6/24/2016",08:32:00,"1B",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",10:12:00,"6/24/2016",08:27:00,"1C",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:48:00,"6/24/2016",08:50:00,"2C",7.1,3,"Filter paper wet due to rain; dried 3 hours under lamp. Lots of fluff in the center not counted that probably contains frass."
"Botanical Garden","6/21/2016",09:40:00,"6/24/2016",08:55:00,"3A",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable. Large caterpillar in trap."
"Botanical Garden","6/21/2016",09:53:00,"6/24/2016",08:43:00,"2B",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:03:00,"6/24/2016",09:26:00,"5A",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:25:00,"6/24/2016",09:15:00,"4E",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:33:00,"6/24/2016",09:00:00,"3E",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:17:00,"6/24/2016",09:34:00,"5D",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:55:00,"6/24/2016",09:45:00,"6C",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:25:00,"6/24/2016",10:41:00,"8D",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",09:22:00,"6/24/2016",09:19:00,"4D",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:53:00,"6/24/2016",09:50:00,"6D",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:40:00,"6/24/2016",10:10:00,"7E",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:43:00,"6/24/2016",10:15:00,"7B",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/21/2016",08:20:00,"6/24/2016",10:37:00,"8C",NA,NA,"Filter paper wet due to rain; dried 3 hours under lamp. Unusable"
"Botanical Garden","6/24/2016",08:30:00,"6/27/2016",02:20:00,"1C",1.7,7,NA
"Botanical Garden","6/24/2016",08:57:00,"6/27/2016",02:33:00,"3A",5.7,27,NA
"Botanical Garden","6/24/2016",08:52:00,"6/27/2016",02:27:00,"2C",6.2,14,"one large cylindrical frass"
"Botanical Garden","6/24/2016",09:03:00,"6/27/2016",02:33:00,"3E",3,22,NA
"Botanical Garden","6/24/2016",08:45:00,"6/27/2016",02:25:00,"2B",0.6,7,NA
"Botanical Garden","6/24/2016",09:18:00,"6/27/2016",02:39:00,"4E",1,5,NA
"Botanical Garden","6/24/2016",09:28:00,"6/27/2016",02:44:00,"5A",1.8,14,NA
"Botanical Garden","6/24/2016",09:48:00,"6/27/2016",02:50:00,"6C",10.6,6,"one large cylindrical frass"
"Botanical Garden","6/24/2016",08:35:00,"6/27/2016",02:22:00,"1B",4.1,17,NA
"Botanical Garden","6/24/2016",09:32:00,"6/27/2016",02:46:00,"5D",3.5,28,NA
"Botanical Garden","6/24/2016",09:53:00,"6/27/2016",02:49:00,"6D",6.2,23,NA
"Botanical Garden","6/24/2016",10:18:00,"6/27/2016",02:57:00,"7B",3.2,14,NA
"Botanical Garden","6/24/2016",10:13:00,"6/27/2016",02:53:00,"7E",8.7,21,"one large cylindrical frass"
"Botanical Garden","6/24/2016",10:40:00,"6/27/2016",03:00:00,"8C",1.6,7,NA
"Botanical Garden","6/24/2016",10:45:00,"6/27/2016",03:02:00,"8D",8.2,19,NA
"Botanical Garden","6/24/2016",NA,"6/27/2016",NA,"4D",NA,NA,NA
"Botanical Garden","7/1/2016",09:18:00,"7/6/2016",09:45:00,"4D",9.8,10,"filter paper wet due to rain; dried for 3 hours under lamp; one large cylindrical frass and lots of fluff in the center"
"Botanical Garden","7/1/2016",08:34:00,"7/6/2016",10:30:00,"1C",1.5,6,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:05:00,"7/6/2016",10:01:00,"3E",NA,NA,"filter paper wet due to rain; dried for 3 hours under lamp; hole in bottom, completely empty (unusable)"
"Botanical Garden","7/1/2016",09:55:00,"7/6/2016",08:58:00,"7B",6.1,5,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",09:43:00,"7/6/2016",09:07:00,"6C",3.5,14,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center; live 5 mm catepillar"
"Botanical Garden","7/1/2016",09:53:00,"7/6/2016",08:54:00,"7E",1.4,10,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center"
"Botanical Garden","7/1/2016",10:12:00,"7/6/2016",08:38:00,"8E",NA,NA,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center (unusable)"
"Botanical Garden","7/1/2016",10:07:00,"7/6/2016",08:34:00,"8C",NA,NA,"filter paper wet due to rain; dried for 3 hours under lamp; lots of fluff in the center (unusable)"
